No.,Lapangan Pekerjaan Utama,Tahun,dibawahSD,SMP,SLTAUmum,SLTAKejuruan,AkademiDiploma,Universitas,Total
1,"Pertanian, Kehutanan, dan Perikanan",2020,26268678,6501376,3933179,1559241,211543,482784,38956801
2,Pertambangan dan Penggalian,2020,520086,248709,293958,151670,33039,95106,1342568
3,Industri Pengolahan,2020,5868406,4149651,3932943,3551635,369190,837616,18709441
4,Pengadaan Listrik dan Gas,2020,19339,51799,75133,136228,25031,36300,343830
5,"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",2020,242274,71674,61112,47815,13621,26863,463359
6,Konstruksi,2020,3625169,2062335,1195929,850340,68941,313712,8116426
7,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2020,7609623,5028778,5974339,4004521,637346,1519161,24773768
8,Transportasi dan Pergudangan,2020,1449210,1195332,1355982,1022823,147395,338411,5509153
9,Penyediaan Akomodasi dan Makan Minum,2020,3045084,2192992,1952153,1325167,211934,331858,9059188
10,Informasi dan Komunikasi,2020,28452,96621,281598,216574,87667,252023,962935
11,Jasa Keuangan dan Asuransi,2020,28969,66121,474367,359096,127889,763293,1819735
12,Real Estat,2020,86551,62173,102699,76913,19531,78616,426483
13,Jasa Perusahaan,2020,232407,224531,489853,330137,78958,468813,1824699
14,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2020,171451,189639,1773900,688533,359410,2252373,5435306
15,Jasa Pendidikan,2020,158591,209837,1079677,425829,360611,4876012,7110557
16,Jasa Kesehatan dan Kegiatan Sosial,2020,126827,84678,247903,213280,890500,655892,2219080
17,Jasa Lainnya,2020,2552684,1391008,1147959,730835,89762,307289,6219537
18,"Pertanian, Kehutanan, dan Perikanan",2021,25044887,7224695,4151160,1696085,175218,485555,38777600
19,Pertambangan dan Penggalian,2021,559380,298093,257716,144746,21491,66791,1348217
20,Industri Pengolahan,2021,5127327,3792076,3911350,3784290,391274,817251,17823568
21,Pengadaan Listrik dan Gas,2021,14113,27726,65006,89113,19488,59176,274622
22,"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",2021,265304,79081,58532,43122,13712,38784,498535
23,Konstruksi,2021,3316985,2163863,1185816,886570,78225,298192,7929651
24,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2021,6949485,5164165,6347826,4272925,674750,1752462,25161613
25,Transportasi dan Pergudangan,2021,1344568,1083190,1425694,961551,118525,374121,5307649
26,Penyediaan Akomodasi dan Makan Minum,2021,3142182,2106068,2051660,1325272,204026,338334,9167542
27,Informasi dan Komunikasi,2021,34132,102941,339068,207025,96274,304031,1083471
28,Jasa Keuangan dan Asuransi,2021,26348,54859,394114,268052,116832,653371,1513576
29,Real Estat,2021,107889,65537,127526,70034,20799,79593,471378
30,Jasa Perusahaan,2021,260452,248757,448103,335534,100332,498481,1891659
31,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2021,118672,170091,1481870,635930,279529,1971547,4657639
32,Jasa Pendidikan,2021,136441,194370,905054,369194,349499,4538621,6493179
33,Jasa Kesehatan dan Kegiatan Sosial,2021,133288,80011,262616,278187,833353,720213,2307668
34,Jasa Lainnya,2021,2448606,1442818,1231480,790733,99906,343195,6356738
